,city,airport,day1,day2,day3,depart_from,arrive_at,date,depart_time,arrival_time,price,airline,flight_duration
0,New York,JFK,38,46,48,DTW,JFK,2021-12-20,7:00 ,8:38 ,$250,JetBlue,1h 38m
1,New York,JFK,38,46,48,DTW,JFK,2021-12-20,8:00 ,12:52 ,$247,JetBlue,4h 52m
2,New York,JFK,38,46,48,DTW,JFK,2021-12-20,10:10 ,12:00 ,$299,Delta,1h 50m
3,New York,JFK,38,46,48,DTW,JFK,2021-12-20,4:10 ,6:01 ,$399,Delta,1h 51m
4,New York,JFK,38,46,48,DTW,JFK,2021-12-20,8:50 ,10:41 ,$399,Delta,1h 51m
5,New York,JFK,38,46,48,DTW,JFK,2021-12-21,7:00 ,8:43 ,$250,JetBlue,1h 43m
6,New York,JFK,38,46,48,DTW,JFK,2021-12-21,10:10 ,12:00 ,$250,Delta,1h 50m
7,New York,JFK,38,46,48,DTW,JFK,2021-12-21,4:10 ,6:01 ,$250,Delta,1h 51m
8,New York,JFK,38,46,48,DTW,JFK,2021-12-21,8:50 ,10:41 ,$399,Delta,1h 51m
9,New York,JFK,38,46,48,DTW,JFK,2021-12-21,7:00 ,8:59 ,$399,Delta,1h 59m
10,New York,JFK,38,46,48,DTW,JFK,2021-12-22,10:10 ,12:00 ,$200,Delta,1h 50m
11,New York,JFK,38,46,48,DTW,JFK,2021-12-22,7:00 ,8:59 ,$200,Delta,1h 59m
12,New York,JFK,38,46,48,DTW,JFK,2021-12-22,4:10 ,6:01 ,$299,Delta,1h 51m
13,New York,JFK,38,46,48,DTW,JFK,2021-12-22,8:50 ,10:41 ,$419,Delta,1h 51m
14,New York,JFK,38,46,48,DTW,JFK,2021-12-22,8:00 ,3:11 ,$207,JetBlue,7h 11m
15,Los Angeles,LAX,67,67,61,DTW,LAX,2021-12-20,3:18 ,8:27 ,$382,Spirit Airlines,8h 09m
16,Los Angeles,LAX,67,67,61,DTW,LAX,2021-12-20,6:30 ,8:28 ,$431,Spirit Airlines,4h 58m
