Unnamed: 0,city,airport,depart_from,arrive_at,date,depart_time,arrival_time,price,airline,flight_duration,weather
0,New York,JFK,DTW,JFK,2021-12-20,7:00 ,8:38 ,250,JetBlue,1h 38m,38
1,New York,JFK,DTW,JFK,2021-12-20,8:00 ,12:52 ,247,JetBlue,4h 52m,38
2,New York,JFK,DTW,JFK,2021-12-20,10:10 ,12:00 ,299,Delta,1h 50m,38
3,New York,JFK,DTW,JFK,2021-12-20,4:10 ,6:01 ,399,Delta,1h 51m,38
4,New York,JFK,DTW,JFK,2021-12-20,8:50 ,10:41 ,399,Delta,1h 51m,38
5,New York,JFK,DTW,JFK,2021-12-21,7:00 ,8:43 ,250,JetBlue,1h 43m,46
6,New York,JFK,DTW,JFK,2021-12-21,10:10 ,12:00 ,250,Delta,1h 50m,46
7,New York,JFK,DTW,JFK,2021-12-21,4:10 ,6:01 ,250,Delta,1h 51m,46
8,New York,JFK,DTW,JFK,2021-12-21,8:50 ,10:41 ,399,Delta,1h 51m,46
9,New York,JFK,DTW,JFK,2021-12-21,7:00 ,8:59 ,399,Delta,1h 59m,46
10,New York,JFK,DTW,JFK,2021-12-22,10:10 ,12:00 ,200,Delta,1h 50m,48
11,New York,JFK,DTW,JFK,2021-12-22,7:00 ,8:59 ,200,Delta,1h 59m,48
12,New York,JFK,DTW,JFK,2021-12-22,4:10 ,6:01 ,299,Delta,1h 51m,48
13,New York,JFK,DTW,JFK,2021-12-22,8:50 ,10:41 ,419,Delta,1h 51m,48
14,New York,JFK,DTW,JFK,2021-12-22,8:00 ,3:11 ,207,JetBlue,7h 11m,48
15,Los Angeles,LAX,DTW,LAX,2021-12-20,3:18 ,8:27 ,382,Spirit Airlines,8h 09m,67
16,Los Angeles,LAX,DTW,LAX,2021-12-20,6:30 ,8:28 ,431,Spirit Airlines,4h 58m,67
17,Los Angeles,LAX,DTW,LAX,2021-12-20,7:05 ,7:22 ,283,United Airlines,15h 17m,67
18,Los Angeles,LAX,DTW,LAX,2021-12-20,12:25 ,2:30 ,569,Delta,5h 05m,67
19,Los Angeles,LAX,DTW,LAX,2021-12-20,3:50 ,5:55 ,569,Delta,5h 05m,67
20,Los Angeles,LAX,DTW,LAX,2021-12-21,10:59 ,12:54 ,489,Spirit Airlines,4h 55m,67
21,Los Angeles,LAX,DTW,LAX,2021-12-21,7:05 ,7:22 ,283,United Airlines,15h 17m,67
22,Los Angeles,LAX,DTW,LAX,2021-12-21,12:25 ,2:30 ,569,Delta,5h 05m,67
23,Los Angeles,LAX,DTW,LAX,2021-12-21,3:50 ,5:55 ,569,Delta,5h 05m,67
24,Los Angeles,LAX,DTW,LAX,2021-12-21,6:42 ,8:50 ,569,Delta,5h 08m,67
25,Los Angeles,LAX,DTW,LAX,2021-12-22,10:59 ,12:54 ,431,Spirit Airlines,4h 55m,61
26,Los Angeles,LAX,DTW,LAX,2021-12-22,10:59 ,12:54 ,409,Spirit Airlines,4h 55m,61
27,Los Angeles,LAX,DTW,LAX,2021-12-22,6:30 ,1:25 ,314,"Spirit Airlines, Alaska Airlines ",21h 55m,61
28,Los Angeles,LAX,DTW,LAX,2021-12-22,6:30 ,8:28 ,481,Spirit Airlines,4h 58m,61
29,Los Angeles,LAX,DTW,LAX,2021-12-22,3:50 ,5:55 ,589,Delta,5h 05m,61
30,Chicago,ORD,DTW,ORD,2021-12-20,4:05 ,4:29 ,177,Delta,1h 24m,41
31,Chicago,ORD,DTW,ORD,2021-12-20,12:40 ,1:07 ,177,Delta,1h 27m,41
32,Chicago,ORD,DTW,ORD,2021-12-20,8:50 ,9:17 ,177,Delta,1h 27m,41
33,Chicago,ORD,DTW,ORD,2021-12-20,1:43 ,2:18 ,219,United Airlines,1h 35m,41
34,Chicago,ORD,DTW,ORD,2021-12-20,8:50 ,9:28 ,227,Delta,1h 38m,41
35,Chicago,ORD,DTW,ORD,2021-12-21,4:05 ,4:29 ,177,Delta,1h 24m,40
36,Chicago,ORD,DTW,ORD,2021-12-21,6:11 ,10:40 ,40,Amtrak,5h 29m,40
37,Chicago,ORD,DTW,ORD,2021-12-21,12:40 ,1:07 ,177,Delta,1h 27m,40
38,Chicago,ORD,DTW,ORD,2021-12-21,8:50 ,9:17 ,177,Delta,1h 27m,40
